"filename", "language", "Python", "XML", "Markdown", "JavaScript", "CSS", "JavaScript React", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.VSCodeCounter\2022-02-26_23-10-37\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.VSCodeCounter\2022-02-26_23-10-37\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.VSCodeCounter\2022-02-26_23-10-37\results.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.idea\misc.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\.idea\stocks-graph.iml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\stocks-graph\Pulse~stock-graph.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 4, 16, 56
"c:\Users\joeljo\Desktop\TY-project\landing page\todolist\note.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 22
"c:\Users\joeljo\Desktop\TY-project\landing page\todolist\script.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 20, 72
"c:\Users\joeljo\Desktop\TY-project\landing page\todolist\style.css", "CSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.VSCodeCounter\2022-02-26_23-00-58\details.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
